index,label,expression,Positive_index,context,AnchorContext,NegativeSentence,NegativeExpression,Negative_index
27,1,pouring,33,"Perhaps the most surprising finding of the commission was that in 50 major Big Board stocks , 30 % of the specialists sold more shares on Oct. 19 than they bought , apparently pouring gasoline on an already raging fire .","Perhaps the most surprising finding of the commission was that in 50 major Big Board stocks , 30 % of the specialists sold more shares on Oct. 19 than they bought , apparently [Mask] gasoline on an already raging fire .","Because of sharp drops in grain stockpiles , the department is likely to allow farmers to plant more acreage next year .",plant,16
28,0,pumping,9,Lung congestion is a result of weakened or impaired pumping action by the heart 's key lower left chamber .,Lung congestion is a result of weakened or impaired [Mask] action by the heart 's key lower left chamber .,There is n't any indication that it could destroy the AIDS virus itself .,destroy,8
29,1,flooded,4,His public-relations people have flooded reporters with copies of his speeches .,His public-relations people have [Mask] reporters with copies of his speeches .,Others fly them out as personal luggage .,fly,1
30,1,wither,17,"Their primary concern is that the latest campaign , like many others before it , will soon wither away , leaving the gangs firmly in control and more contemptuous of the law than ever .","Their primary concern is that the latest campaign , like many others before it , will soon [Mask] away , leaving the gangs firmly in control and more contemptuous of the law than ever .","This agreement is the product of the determination and sacrifice of the freedom fighters through years of struggle , including their heroic resistance last week to a Sandinista offensive designed to destroy them .",destroy,31
31,0,flooded,21,And gang killings -- though still occurring at the rate of several a week -- have declined sharply since the police flooded the streets .,And gang killings -- though still occurring at the rate of several a week -- have declined sharply since the police [Mask] the streets .,"Their primary concern is that the latest campaign , like many others before it , will soon wither away , leaving the gangs firmly in control and more contemptuous of the law than ever .",wither,17
32,0,danced,15,"`` This music is n't meant to be watched , it 's intended to be danced , '' Mr. Gutierrez pleads from the stage .","`` This music is n't meant to be watched , it 's intended to be [Mask] , '' Mr. Gutierrez pleads from the stage .","At the beginning of the book , Mr. Haraszti asks , `` Is freedom really necessary for art to flourish ? ''/''",flourish,19
33,0,eat,15,Most seafood eaters never give a second thought to the safety of the delicacies they eat .,Most seafood eaters never give a second thought to the safety of the delicacies they [Mask] .,Lawsuits and lawsuit-threats are flying .,flying,4
34,0,eat,5,Bachelor 's diet: You only eat half of everything you cook -- because the other half sticks to the bottom of the pan .,Bachelor 's diet: You only [Mask] half of everything you cook -- because the other half sticks to the bottom of the pan .,Holly Farms ' experience is a classic example of how a food company can stumble in launching a product .,stumble,14
35,1,flourish,3,"For entrepreneurship to flourish , it must be clear to all Poles that money-making not only will be permitted but also will be fostered .","For entrepreneurship to [Mask] , it must be clear to all Poles that money-making not only will be permitted but also will be fostered .","Zero makes cases , cabinets and cooling equipment for the electronics industry and industrial and consumer use .",cooling,6
36,1,attacking,18,"Meanwhile , the U.S. quietly tries to persuade former Israeli Defense Minister Sharon not to undercut Shamir by attacking the peace effort .","Meanwhile , the U.S. quietly tries to persuade former Israeli Defense Minister Sharon not to undercut Shamir by [Mask] the peace effort .",Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan-resistance camps in Pakistan .,attack,12
37,0,attacked,2,"Rioting Iranians attacked the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran .","Rioting Iranians [Mask] the Soviet Union 's Embassy in Tehran , accusing Moscow of supplying Iraq with missiles used in recent raids on Iran .",The recent Iraqi chemical attack on civilians in the town of Halabja combined with the Iraqi missiles raining on Iranian cities have left Tehranis petrified about possible Iraqi chemical attacks on Tehran .,raining,17
38,1,attacked,8,"In Idaho last week , the Indiana conservative attacked the Carter administration for having shown an `` insensitivity to Western needs '' and having tried to `` cancel vital water projects . ''/''","In Idaho last week , the Indiana conservative [Mask] the Carter administration for having shown an `` insensitivity to Western needs '' and having tried to `` cancel vital water projects . ''/''","Secretary of State Shultz recently flew to Geneva , for example , to `` resolve ambiguities '' over INF verification .",flew,5
39,1,attacked,10,"And when Mr. Chirac did get an opponent , he attacked the Francois Mitterrand of 1981 , not the one of 1988 .","And when Mr. Chirac did get an opponent , he [Mask] the Francois Mitterrand of 1981 , not the one of 1988 .","But David Lett was a visionary , and in 1966 he planted pinot noir in the red hills near Dundee .",planted,11
40,1,cool,13,One trader said that the rumors of the Finance Ministry 's efforts to cool trading of the large-capitalization issues triggered the losses in the steel and heavy industrial sectors .,One trader said that the rumors of the Finance Ministry 's efforts to [Mask] trading of the large-capitalization issues triggered the losses in the steel and heavy industrial sectors .,Southeastern poultry producers fear withering soybean supplies will force up prices on other commodities .,withering,4
41,0,pumping,11,"Scientists disagree , however , as to whether the heart 's pumping power is a true predictor of survival .","Scientists disagree , however , as to whether the heart 's [Mask] power is a true predictor of survival .",But the Baylor Research Foundation in Dallas soon will unveil a technique for using this versatile laser to vaporize tumors without hurting the surrounding healthy cells .,vaporize,18
42,0,flown,8,A revenue passenger mile is one paying passenger flown one mile .,A revenue passenger mile is one paying passenger [Mask] one mile .,International collaboration flourishes between the major laboratories .,flourishes,2
43,1,dissolved,3,"That agreement was dissolved after a regulatory challenge , but Seagram ultimately won Martell with an offer valuing the company at 5.25 billion French francs -LRB- $ 820.6 million -RRB- .","That agreement was [Mask] after a regulatory challenge , but Seagram ultimately won Martell with an offer valuing the company at 5.25 billion French francs -LRB- $ 820.6 million -RRB- .","The provincial governments of Alberta and Saskatchewan have offered a total of 28.5 million Canadian dollars -LRB- $ 23.2 million -RRB- to assist in well drilling , water pumping and other relief activities .",pumping,28
44,0,killed,25,"The federal government and Morton Thiokol Inc. bought annuities totaling $ 7.7 million to settle legal claims by the survivors of four of the astronauts killed in the Challenger disaster , documents showed .","The federal government and Morton Thiokol Inc. bought annuities totaling $ 7.7 million to settle legal claims by the survivors of four of the astronauts [Mask] in the Challenger disaster , documents showed .",The filing also reported two lawsuits brought by Staley shareholders attacking the company 's extensive anti-takeover arsenal .,attacking,10
45,0,fly,1,Others fly them out as personal luggage .,Others [Mask] them out as personal luggage .,This money would also be targeted to those who truly need it .,targeted,5
46,0,dancing,14,"With their wives and girlfriends in Mexico , it 's common to see men dancing alone here .","With their wives and girlfriends in Mexico , it 's common to see men [Mask] alone here .","They 're stumbling through middle age beset by debts , boring jobs , needy parents , unloving children .",stumbling,2
47,0,melting,17,"In a joint venture with a Japanese company this fall , Nucor Corp. of Charlotte will start melting steel in a new 500-worker I-beam mill at Blytheville , Ark . , on the Mississippi .","In a joint venture with a Japanese company this fall , Nucor Corp. of Charlotte will start [Mask] steel in a new 500-worker I-beam mill at Blytheville , Ark . , on the Mississippi .","NTN Toyo Bearing Co . , a Japanese firm with plants in the U.S . , is being besieged by potential buyers and has lead times of seven to 13 months .",besieged,18
48,1,pouring,8,"`` The drivers smelled anti-freeze , noticed smoke pouring from the engines , and within 10 to 15 minutes , the engines were engulfed in flames . ''/''","`` The drivers smelled anti-freeze , noticed smoke [Mask] from the engines , and within 10 to 15 minutes , the engines were engulfed in flames . ''/''","The fires , Ford said , could be caused by a nylon wiring shield that could melt and drip onto the engine 's hot exhaust manifold , `` resulting in an engine compartment fire . ''/''",melt,16
49,0,targeting,27,"While the chief contracting officer in the cruise-missile office , Mr. Parkin in 1982 helped Mr. Galvin get a $ 225 , 964 contract to study the targeting equipment for the Tomahawk missile , according to the Navy and Mr. Parkin .","While the chief contracting officer in the cruise-missile office , Mr. Parkin in 1982 helped Mr. Galvin get a $ 225 , 964 contract to study the [Mask] equipment for the Tomahawk missile , according to the Navy and Mr. Parkin .","The Australian experience might be of interest to the U.S . , which just agreed to pump nearly $ 1 billion of development aid into the Philippines .",pump,16
50,0,flying,15,"The route generates about $ 120 million in revenue for United , which has been flying it since 1983 .","The route generates about $ 120 million in revenue for United , which has been [Mask] it since 1983 .","A Texas Air spokesman declines to say what income , if any , the parent company is drawing from this flourishing new unit .",flourishing,20
51,1,withered,11,"But by 1985 the boom was over , and sales had withered to $ 100 million .","But by 1985 the boom was over , and sales had [Mask] to $ 100 million .","The new calculations showed the shuttle could fly safely , he said .",fly,7
52,0,target,13,Col. North again proposed luring Col. Gadhafi to a spot where bombers could target him .,Col. North again proposed luring Col. Gadhafi to a spot where bombers could [Mask] him .,The crash was blamed on a bomb planted by Sikh terrorists .,planted,7
53,1,attack,5,"Labor unions , too , attack the underground economy .","Labor unions , too , [Mask] the underground economy .",Others fly them out as personal luggage .,fly,1
54,1,evaporate,38,"`` Within a few years , we 're either going to see parents paying significantly higher tuition rates for good-quality care , or there 's going to be no coverage at all and child care is going to evaporate . ''/''","`` Within a few years , we 're either going to see parents paying significantly higher tuition rates for good-quality care , or there 's going to be no coverage at all and child care is going to [Mask] . ''/''",You 'll probably want to eat a crab salad . ''/'',eat,5
55,0,slept,18,"`` One of the clues that it was n't really a crash was that she said everyone else slept through it , '' he says .","`` One of the clues that it was n't really a crash was that she said everyone else [Mask] through it , '' he says .","`` The hot weather just about melted him away , '' Mr. Corbett says with a sigh .",melted,6
56,1,flying,5,Mexico verifies crop destruction by flying over sprayed sites ; it calls on-ground inspections too risky .,Mexico verifies crop destruction by [Mask] over sprayed sites ; it calls on-ground inspections too risky .,State officials are advising farmers to plow under infested fields .,plow,6
57,1,plowing,3,Among those currently plowing millions into non-U.S. investments are the San Francisco City and County Employees Retirement System and state funds in Oregon and Colorado .,Among those currently [Mask] millions into non-U.S. investments are the San Francisco City and County Employees Retirement System and state funds in Oregon and Colorado .,Others fly them out as personal luggage .,fly,1
58,0,destroyed,9,"Once the people move , these houses will be destroyed .","Once the people move , these houses will be [Mask] .","Meanwhile , existing jobs have evaporated .",evaporated,5
59,0,pumping,19,"One of the highest concentrations of chemical plants in the nation , its hulking factories whir and hiss , pumping steam into a hazy , burnt-orange sky .","One of the highest concentrations of chemical plants in the nation , its hulking factories whir and hiss , [Mask] steam into a hazy , burnt-orange sky .","Richard DeVane , president of the company 's fossil systems business , said it appears that oxygen in the fresh air combined with either sulfur , zinc or chloride to produce an oxide that ate away the boiler wall 's iron-oxide protective coating .",ate,34
60,1,destroyed,53,"After a recent Barron 's magazine article about the fund 's woes , Kenneth Edlund , a Delmar , N.Y . , investor , groused in a letter to the publication 's editor that for five years he `` watched in disbelief as , during the great secular bull market , David Baker destroyed my young son 's $ 17 , 000 college nest egg . ''/''","After a recent Barron 's magazine article about the fund 's woes , Kenneth Edlund , a Delmar , N.Y . , investor , groused in a letter to the publication 's editor that for five years he `` watched in disbelief as , during the great secular bull market , David Baker [Mask] my young son 's $ 17 , 000 college nest egg . ''/''","`` Sam is one of a kind , '' Mr. Glass said , adding that he was n't `` going to dance the hula on Wall Street . ''/''",dance,21
61,1,flooded,11,"Indeed , research is being slowed because state laboratories have been flooded with requests by veterinarians for tests on livestock feed .","Indeed , research is being slowed because state laboratories have been [Mask] with requests by veterinarians for tests on livestock feed .",State officials are advising farmers to plow under infested fields .,plow,6
62,1,destroyed,13,"Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party .","Equally important , his Socialist government absorbed and then , in effect , [Mask] the French Communist Party .","This agreement is the product of the determination and sacrifice of the freedom fighters through years of struggle , including their heroic resistance last week to a Sandinista offensive designed to destroy them .",destroy,31
63,1,destroy,8,"`` If Roger had purposely set out to destroy all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive .","`` If Roger had purposely set out to [Mask] all morale in what was once the most confident and secure company going , he could n't have done a better job , '' Mr. Lee quotes an unnamed GM executive .","`` He just tried to eat the propeller , '' says Mr. Fox .",eat,5
64,1,stumbling,2,"But other stumbling blocks on the way to being a world-class news agency are not so simple , because they 're held in place by a half-century of political inertia .","But other [Mask] blocks on the way to being a world-class news agency are not so simple , because they 're held in place by a half-century of political inertia .","Conjoining them is like pounding square pegs into round holes , destroying the superconductors ' ability to conduct large electrical current without resistance -- their hallmark and the source of commercial excitement about them .",destroying,11
65,0,flew,13,"For the first five months of the year , the NWA Inc. unit flew 14.9 billion revenue passenger miles , down 7.5 % from 16.1 billion miles a year earlier .","For the first five months of the year , the NWA Inc. unit [Mask] 14.9 billion revenue passenger miles , down 7.5 % from 16.1 billion miles a year earlier .","In the year ended March 31 , North Sea oil pumped # 8.2 billion into government coffers .",pumped,10
66,1,attacked,28,"According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being attacked `` professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him .","According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being [Mask] `` professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him .","A federal magistrate in New Orleans accused the brokerage unit of PaineWebber Inc. of relentless `` stonewalling '' -- among other things , permitting potential evidence to be destroyed -- to prevent a customer-complaint lawsuit from going to trial .",destroyed,28
67,1,attacking,6,`` We 're going to keep attacking . ''/'',`` We 're going to keep [Mask] . ''/'',It 's raining . ''/'',raining,2
68,0,dissolved,1,"When dissolved in water , the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit .","When [Mask] in water , the protein acts as a catalyst to aid the freezing process by increasing the effective freezing point of water by 8 degrees to 10 degrees Fahrenheit .","Similar in appearance and texture to petroleum-based plastics , the plastic decomposes into water and carbon dioxide when attacked by certain enzymes in the soil .",attacked,18
69,0,rain,18,"For now , he will just reseed the dry wheat fields to soybeans on the chance it will rain .","For now , he will just reseed the dry wheat fields to soybeans on the chance it will [Mask] .","But even if this plan does n't fly , Mr. Robinson sees advantages in announcing it .",fly,7
70,0,destroyed,28,"A federal magistrate in New Orleans accused the brokerage unit of PaineWebber Inc. of relentless `` stonewalling '' -- among other things , permitting potential evidence to be destroyed -- to prevent a customer-complaint lawsuit from going to trial .","A federal magistrate in New Orleans accused the brokerage unit of PaineWebber Inc. of relentless `` stonewalling '' -- among other things , permitting potential evidence to be [Mask] -- to prevent a customer-complaint lawsuit from going to trial .","According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being attacked `` professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him .",attacked,28
71,1,flooded,12,The specter raised by economic nationalists is that the country will be flooded with foreign materials .,The specter raised by economic nationalists is that the country will be [Mask] with foreign materials .,Eastern has made elaborate preparations to keep the airline flying with non-union workers .,flying,9
72,0,drinking,9,"Now , the pock-marked nightspot is crowded with men drinking arak liquor and slapping dominoes and backgammon pieces on rickety tables .","Now , the pock-marked nightspot is crowded with men [Mask] arak liquor and slapping dominoes and backgammon pieces on rickety tables .",Yet a stroll through any department store makes it plain that `` yuppie puppies '' have visions of dollar-signs dancing in their heads .,dancing,19
73,0,drink,11,"Many who live in the zone still seem almost hyper-American: They drink harder , pray more , salute faster .","Many who live in the zone still seem almost hyper-American: They [Mask] harder , pray more , salute faster .","Excessive rates of income tax destroy enterprise , encourage avoidance , and drive talent to more hospitable shores overseas .",destroy,5
74,1,flooding,6,"Saudi Arabia is expected to continue flooding the market with oil for at least two more weeks , until two OPEC panels meet to consider ways to curb output and prop up prices .","Saudi Arabia is expected to continue [Mask] the market with oil for at least two more weeks , until two OPEC panels meet to consider ways to curb output and prop up prices .","Because of sharp drops in grain stockpiles , the department is likely to allow farmers to plant more acreage next year .",plant,16
75,1,destroy,44,"Claiborne had said in its complaint last month that Avon 's failure to meet its obligation for the Fall and Christmas seasons , which together account for more than 70 % of annual sales for the venture , would `` irreparably harm and likely destroy the business . ''/''","Claiborne had said in its complaint last month that Avon 's failure to meet its obligation for the Fall and Christmas seasons , which together account for more than 70 % of annual sales for the venture , would `` irreparably harm and likely [Mask] the business . ''/''","`` Heineken has been hurt seriously since it became fashionable to drink Corona , '' says Frank Walters , research director for the liquor industry newsletter Impact .",drink,11
76,0,sleep,4,"He can no longer sleep , he says , nor even concentrate long enough to take in a newspaper article without reading it several times .","He can no longer [Mask] , he says , nor even concentrate long enough to take in a newspaper article without reading it several times .",A Reichmann official makes clear that Mr. Campeau ca n't afford to stumble .,stumble,12
77,0,dancing,4,"They were greeted by dancing pigs , flying pigs and several hundred thousand people pigging out .","They were greeted by [Mask] pigs , flying pigs and several hundred thousand people pigging out .","Nevertheless , they continue to pump money into the market .",pump,5
78,1,pump,17,"However , Robert M. Bass Group Inc. of Fort Worth , Texas , which has agreed to pump $ 550 million in new capital into American Savings and acquire the thrift with $ 2 billion of federal aid , apparently plans to launch its own campaign to market various financial services through American Savings .","However , Robert M. Bass Group Inc. of Fort Worth , Texas , which has agreed to [Mask] $ 550 million in new capital into American Savings and acquire the thrift with $ 2 billion of federal aid , apparently plans to launch its own campaign to market various financial services through American Savings .","Horace Furumoto , chairman and chief executive officer , said the company recently has completed its first phase as a public company , which included the development of lasers for removing birthmarks and for destroying kidney stones without surgery .",destroying,34
79,0,eat,7,"But the overwhelming mass of Soviet people eat dinner at home , after wasting millions of hours in line buying dreadful food , barely seeing a green vegetable in a state grocery all winter -LRB- although the citrus situation is vastly improved from what it once was -RRB- .","But the overwhelming mass of Soviet people [Mask] dinner at home , after wasting millions of hours in line buying dreadful food , barely seeing a green vegetable in a state grocery all winter -LRB- although the citrus situation is vastly improved from what it once was -RRB- .","The problem it would confront is those last decades -LRB- 2030-2050 -RRB- of the scenario , when the surplus melts away to zero .",melts,19
80,1,planted,1,That planted the seeds of discontent between Mr. Kirk and the Jackson forces .,That [Mask] the seeds of discontent between Mr. Kirk and the Jackson forces .,They poured gasoline over the pile and set it on fire .,poured,1
81,0,killed,9,`` Does somebody have to get hurt -- or killed ? ''/'',`` Does somebody have to get hurt -- or [Mask] ? ''/'',"`` The risk is , business will melt away . ''/''",melt,7
82,1,flooded,14,Supermarket chains are n't willing to pay much for beef because they 've been flooded with cheap poultry .,Supermarket chains are n't willing to pay much for beef because they 've been [Mask] with cheap poultry .,"Also , many farmers have planted soybeans amid their ruined wheat crop , possibly bolstering production .",planted,5
83,1,plowing,14,Most African governments pay lip service but not much else to the principle of plowing those hunting revenues back into the rural communities .,Most African governments pay lip service but not much else to the principle of [Mask] those hunting revenues back into the rural communities .,At that level the department could permit farmers in the government program to plant on more land .,plant,13
84,0,cool,10,"Normal cooling costs are defined as the expected costs to cool a residence in average August weather , which is based on temperature records for the past 30 years .","Normal cooling costs are defined as the expected costs to [Mask] a residence in average August weather , which is based on temperature records for the past 30 years .",Judges thus destroyed the time frame used in assessing risk .,destroyed,2
85,0,dissolve,5,Actigall could be used to dissolve the fragments that remain from that procedure .,Actigall could be used to [Mask] the fragments that remain from that procedure .,It is targeted at space testing of SDI technologies .,targeted,2
86,1,sleeping,2,Everyone was sleeping with Noriega .,Everyone was [Mask] with Noriega .,About 170 people were killed in Petropolis two weeks ago .,killed,4
