index,label,expression,Positive_index,context,AnchorContext,NegativeSentence,NegativeExpression,Negative_index
23,1,sensitized,1,She sensitized me with respect to gender differences in this traditional male - dominated society,She [Mask] me with respect to gender differences in this traditional male - dominated society,She must answer for her actions,answer,2
24,1,sensitized,1,She sensitized me with respect to gender differences in this traditional male - dominated society,She [Mask] me with respect to gender differences in this traditional male - dominated society,She poisoned her husband,poisoned,1
25,0,grind,0,grind the spices in a mortar,[Mask] the spices in a mortar,the kettle was singing,singing,3
26,1,seized,1,Fear seized the prisoners,Fear [Mask] the prisoners,The prisoner tugged at the chains,tugged,2
27,1,seized,1,Fear seized the prisoners,Fear [Mask] the prisoners,They tried to recapture the escaped prisoner .,recapture,3
28,1,seized,1,Fear seized the prisoners,Fear [Mask] the prisoners,The prison sentence was suspended .,suspended,4
29,0,raided,2,The pirates raided the coastal villages regularly,The pirates [Mask] the coastal villages regularly,The tornado ripped along the coast .,ripped,2
30,0,belong,4,This student somehow doesn't belong,This student somehow doesn't [Mask],This student heads the class,heads,2
31,0,visualize,3,The radiologist can visualize the cancerous liver .,The radiologist can [Mask] the cancerous liver .,He heaped him with work,heaped,1
32,0,reposed,2,The nation reposed its confidence in the King,The nation [Mask] its confidence in the King,they had to treat with the King,treat,3
33,1,locked,2,He was locked in a laughing fit .,He was [Mask] in a laughing fit .,She was recalled by a loud laugh,recalled,2
34,1,locked,2,He was locked in a laughing fit .,He was [Mask] in a laughing fit .,That song put me in awful good humor,put,2
35,1,locked,2,He was locked in a laughing fit .,He was [Mask] in a laughing fit .,He felt new emotions emerge,emerge,4
36,0,involved,3,His story completely involved me during the entire afternoon,His story completely [Mask] me during the entire afternoon,This story will grab you,grab,3
37,1,clouded,2,The stroke clouded memories of her youth .,The stroke [Mask] memories of her youth .,She changed completely as she grew older,changed,1
38,1,clouded,2,The stroke clouded memories of her youth .,The stroke [Mask] memories of her youth .,Age had dulled the surface,dulled,2
39,1,clouded,2,The stroke clouded memories of her youth .,The stroke [Mask] memories of her youth .,I put these memories with those of bygone times,put,1
40,0,acknowledge,2,We must acknowledge the kindness she showed towards us,We must [Mask] the kindness she showed towards us,Her efforts will redound to the general good .,redound,3
41,0,write,6,How many books did Georges Simenon write ?,How many books did Georges Simenon [Mask] ?,She devoured his novels,devoured,1
42,0,involves,4,Dinner at Joe's always involves at least six courses,Dinner at Joe's always [Mask] at least six courses,She stuffed herself at the dinner,stuffed,1
43,0,finished,1,That finished me with Mary,That [Mask] me with Mary,The Church reformed me,reformed,2
44,1,aim,3,She wanted to aim a pun,She wanted to [Mask] a pun,She was recalled by a loud laugh,recalled,2
45,1,aim,3,She wanted to aim a pun,She wanted to [Mask] a pun,She must answer for her actions,answer,2
46,1,aim,3,She wanted to aim a pun,She wanted to [Mask] a pun,This may answer her needs,answer,2
47,0,pleased,7,he could do many things if he pleased,he could do many things if he [Mask],A puffing kind of man,puffing,1
48,0,confront,2,You must confront your opponent,You must [Mask] your opponent,He pasted his opponent,pasted,1
49,0,flashed,3,A shooting star flashed and was gone,A shooting star [Mask] and was gone,the sky flushed with rosy splendor,flushed,2
50,0,pushed,2,The crowd pushed forward,The crowd [Mask] forward,The crowd flowed out of the stadium,flowed,2
51,0,assimilates,2,The nasal assimilates to the following consonant,The nasal [Mask] to the following consonant,I have to level with you,level,3
52,1,blazed,1,He blazed away at the men .,He [Mask] away at the men .,he was telling on all his former colleague,telling,2
53,1,blazed,1,He blazed away at the men .,He [Mask] away at the men .,I sense his hostility,sense,1
54,1,blazed,1,He blazed away at the men .,He [Mask] away at the men .,The situation was rather involved,involved,4
55,0,spread,1,He spread fertilizer over the lawn,He [Mask] fertilizer over the lawn,The gardener topped the trees and bushes .,topped,2
56,0,glared,2,The girl glared at the man who tried to make a pass at her,The girl [Mask] at the man who tried to make a pass at her,her indifference to his amorous advances really steamed the young man,steamed,7
57,0,join,0,join these two parts so that they fit together,[Mask] these two parts so that they fit together,one idea squares with the other one,squares,2
58,0,belong,2,The whales belong among the mammals,The whales [Mask] among the mammals,They are railing for fresh fish,railing,2
59,0,sprayed,1,Water sprayed all over the floor,Water [Mask] all over the floor,Mud was sucking at her feet,sucking,2
60,1,lightened,7,"after a glass of wine , he lightened up a bit","after a glass of wine , he [Mask] up a bit",We tasted wines last night,tasted,1
61,1,lightened,7,"after a glass of wine , he lightened up a bit","after a glass of wine , he [Mask] up a bit",The wine spotted the tablecloth,spotted,2
62,1,lightened,7,"after a glass of wine , he lightened up a bit","after a glass of wine , he [Mask] up a bit",She joined him for a drink,joined,1
63,0,confirmed,2,his story confirmed my doubts,his story [Mask] my doubts,nagging concerns and doubts,nagging,0
64,0,walked,1,Paul walked the streets of Damascus .,Paul [Mask] the streets of Damascus .,The Middle East is fermenting,fermenting,4
65,0,match,3,This job doesn't match my dreams .,This job doesn't [Mask] my dreams .,You have shipwrecked my career .,shipwrecked,2
66,0,grown,4,The tree trunks had grown together,The tree trunks had [Mask] together,The exposed tree scorched in the hot sun .,scorched,3
67,1,swelled,2,The music swelled to a crescendo,The music [Mask] to a crescendo,put these words to music,put,0
68,1,swelled,2,The music swelled to a crescendo,The music [Mask] to a crescendo,sound a certain note,sound,0
69,1,swelled,2,The music swelled to a crescendo,The music [Mask] to a crescendo,I missed the concert,missed,1
70,0,looked,1,She looked her devotion to me,She [Mask] her devotion to me,her resistance melted under his charm,melted,2
71,1,melting,4,Hundreds of actors were melting into the scene,Hundreds of actors were [Mask] into the scene,The crowd converged on the movie star .,converged,2
72,1,melting,4,Hundreds of actors were melting into the scene,Hundreds of actors were [Mask] into the scene,"The theater seats 2 , 000",seats,2
73,1,melting,4,Hundreds of actors were melting into the scene,Hundreds of actors were [Mask] into the scene,The crowd pushed forward,pushed,2
74,0,ease,0,ease the pain in your legs,[Mask] the pain in your legs,wallow in your sorrows,wallow,0
75,0,quoted,1,He quoted prices for cars .,He [Mask] prices for cars .,prices climbed steeply,climbed,1
76,0,pleading,2,She was pleading insanity .,She was [Mask] insanity .,She tugged and wrestled with her conflicts,tugged,1
77,0,volley,3,They began to volley the tennis ball .,They began to [Mask] the tennis ball .,flood the market with tennis shoes,flood,0
78,0,rotate,1,We rotate the crops so as to maximize the use of the soil,We [Mask] the crops so as to maximize the use of the soil,We have exhausted the food supplies .,exhausted,2
79,0,register,0,register for an election,[Mask] for an election,key one's actions to the voters' prevailing attitude,key,0
80,0,whistled,1,She whistled a melody,She [Mask] a melody,She radiates happiness,radiates,1
81,0,vanished,2,The effect vanished when day broke,The effect [Mask] when day broke,The sun glared down on us,glared,2
82,1,steamroller,5,The new teacher tends to steamroller,The new teacher tends to [Mask],The children teased the new teacher,teased,2
83,1,steamroller,5,The new teacher tends to steamroller,The new teacher tends to [Mask],The teacher tests us every week,tests,2
84,1,steamroller,5,The new teacher tends to steamroller,The new teacher tends to [Mask],The teacher assigned him to lead his classmates in the exercise .,assigned,2
85,0,tread,8,For fools rush in where angels fear to tread,For fools rush in where angels fear to [Mask],Fame redounds to the heroes .,redounds,1
86,0,allow,1,I allow for this possibility,I [Mask] for this possibility,sow suspicion or beliefs,sow,0
87,1,poured,1,We poured money into the education of our children .,We [Mask] money into the education of our children .,Children have to be socialized in school,socialized,4
88,1,poured,1,We poured money into the education of our children .,We [Mask] money into the education of our children .,The children must be properly socialized,socialized,5
89,1,poured,1,We poured money into the education of our children .,We [Mask] money into the education of our children .,I transferred my stock holdings to my children,transferred,1
90,0,reviews,1,She reviews books for the New York Times,She [Mask] books for the New York Times,She devoured his novels,devoured,1
91,0,approached,2,I was approached by the President to serve as his adviser in foreign matters,I was [Mask] by the President to serve as his adviser in foreign matters,lay a responsibility on someone,lay,0
92,0,induct,5,There was a ceremony to induct the president of the Academy .,There was a ceremony to [Mask] the president of the Academy .,He was showered with praise,showered,2
93,0,hacking,5,The patient with emphysema is hacking all day,The patient with emphysema is [Mask] all day,lay a responsibility on someone,lay,0
94,0,administer,0,administer critical remarks to everyone present,[Mask] critical remarks to everyone present,level criticism or charges at somebody,level,0
95,0,lied,1,She lied when she told me she was only 29 .,She [Mask] when she told me she was only 29 .,She is pushing fifty,pushing,2
96,0,guard,1,Please guard my possessions while I'm away .,Please [Mask] my possessions while I'm away .,lay a responsibility on someone,lay,0
97,0,claimed,1,They claimed on the maximum allowable amount,They [Mask] on the maximum allowable amount,the workers spell every four hours,spell,2
98,0,provided,1,We provided the room with an electrical heater,We [Mask] the room with an electrical heater,Our babysitter raided our refrigerator,raided,2
99,0,put,2,That song put me in awful good humor,That song [Mask] me in awful good humor,He was locked in a laughing fit .,locked,2
100,0,expecting,1,I'm expecting a full explanation as to why these files were destroyed,I'm [Mask] a full explanation as to why these files were destroyed,I can't hack it anymore,hack,2
101,0,escaped,1,Gas escaped into the bedroom,Gas [Mask] into the bedroom,She curled farther down under the covers .,curled,1
102,1,gutter,5,The cooling lava continued to gutter toward lower ground .,The cooling lava continued to [Mask] toward lower ground .,It plunged to the bottom of the well,plunged,1
103,1,gutter,5,The cooling lava continued to gutter toward lower ground .,The cooling lava continued to [Mask] toward lower ground .,The pool slowly filled with water,filled,3
104,1,gutter,5,The cooling lava continued to gutter toward lower ground .,The cooling lava continued to [Mask] toward lower ground .,Water was splashing on the floor .,splashing,2
105,0,uproot,3,They plan to uproot the vine that has spread all over the garden .,They plan to [Mask] the vine that has spread all over the garden .,The gardener topped the trees and bushes .,topped,2
106,0,plunged,1,It plunged to the bottom of the well,It [Mask] to the bottom of the well,The river thundered below .,thundered,2
107,0,poison,3,This mushrooms can poison,This mushrooms can [Mask],poison someone's mind,poison,0
108,0,exploded,3,The champagne bottle exploded,The champagne bottle [Mask],The champagne flowed at the wedding,flowed,2
109,1,wants,2,This piano wants the attention of a competent tuner,This piano [Mask] the attention of a competent tuner,The critics hailed the young pianist as a new Rubinstein,hailed,2
110,1,wants,2,This piano wants the attention of a competent tuner,This piano [Mask] the attention of a competent tuner,sound a certain note,sound,0
111,1,wants,2,This piano wants the attention of a competent tuner,This piano [Mask] the attention of a competent tuner,She whistled a melody,whistled,1
112,1,railing,2,They are railing for fresh fish,They are [Mask] for fresh fish,The fishermen tied their flies,tied,2
113,1,railing,2,They are railing for fresh fish,They are [Mask] for fresh fish,mollusks or oysters spat,spat,3
114,1,railing,2,They are railing for fresh fish,They are [Mask] for fresh fish,people used to salt meats on ships,salt,3
115,1,injected,1,He injected new life into the performance,He [Mask] new life into the performance,He revived this style of opera,revived,1
116,1,injected,1,He injected new life into the performance,He [Mask] new life into the performance,He voted for the motion,voted,1
117,1,injected,1,He injected new life into the performance,He [Mask] new life into the performance,I missed the concert,missed,1
118,0,pledged,1,I pledged $ 10 a month to my favorite radio station,I [Mask] $ 10 a month to my favorite radio station,You have shipwrecked my career .,shipwrecked,2
119,0,looked,1,She looked over the expanse of land,She [Mask] over the expanse of land,She traced the circumstances of her birth,traced,1
120,0,clean,0,clean up before you see your grandparents,[Mask] up before you see your grandparents,preserve the peace in the family,preserve,0
121,0,missed,2,The arrow missed the target,The arrow [Mask] the target,harmonize one's goals with one's abilities,harmonize,0
122,0,harmonize,0,harmonize the different interests,[Mask] the different interests,one idea squares with the other one,squares,2
123,0,time,1,We time the process to manufacture our cars very precisely .,We [Mask] the process to manufacture our cars very precisely .,He heaped him with work,heaped,1
124,1,smashed,1,He smashed a 3 - run homer,He [Mask] a 3 - run homer,"I served him three times , and after that he helped himself",helped,10
125,1,smashed,1,He smashed a 3 - run homer,He [Mask] a 3 - run homer,The home team was gaining ground,gaining,4
126,1,smashed,1,He smashed a 3 - run homer,He [Mask] a 3 - run homer,the player juggled the ball,juggled,2
127,0,stagnate,2,Industry will stagnate if we do not stimulate our economy,Industry will [Mask] if we do not stimulate our economy,The war inflated the economy,inflated,2
128,1,drifted,4,The unknown young man drifted among the invited guests,The unknown young man [Mask] among the invited guests,The situation was rather involved,involved,4
129,1,drifted,4,The unknown young man drifted among the invited guests,The unknown young man [Mask] among the invited guests,he is exploiting the students,exploiting,2
130,1,drifted,4,The unknown young man drifted among the invited guests,The unknown young man [Mask] among the invited guests,He bowed before the King,bowed,1
131,0,supplicate,0,supplicate for permission,[Mask] for permission,lay a responsibility on someone,lay,0
132,0,deserted,2,"If soldiers deserted Hitler's army , they were shot","If soldiers [Mask] Hitler's army , they were shot",Gun shots volleyed at the attackers .,volleyed,2
133,0,condemned,2,He was condemned to ten years in prison,He was [Mask] to ten years in prison,The charges were inflated,inflated,3
134,1,sifted,2,The soldiers sifted through the woods .,The soldiers [Mask] through the woods .,The soldiers were fired,fired,3
135,1,sifted,2,The soldiers sifted through the woods .,The soldiers [Mask] through the woods .,he hacked his way through the forest,hacked,1
136,1,sifted,2,The soldiers sifted through the woods .,The soldiers [Mask] through the woods .,They recruited new soldiers .,recruited,1
137,0,affects,3,This new ruling affects your business,This new ruling [Mask] your business,The new measures deflated the economy,deflated,3
138,0,grow,2,Corn doesn't grow here,Corn doesn't [Mask] here,The colors don't harmonize,harmonize,3
139,1,shipwrecked,2,You have shipwrecked my career .,You have [Mask] my career .,I worry about my job,worry,1
140,1,shipwrecked,2,You have shipwrecked my career .,You have [Mask] my career .,admit someone to the profession,admit,0
141,1,shipwrecked,2,You have shipwrecked my career .,You have [Mask] my career .,This kind of work exhausts me .,exhausts,4
142,0,hurt,3,Our business was hurt by the new competition,Our business was [Mask] by the new competition,The market is being clogged by these operations,clogged,4
143,1,fill,0,fill the child with pride,[Mask] the child with pride,The child looks unhappy,looks,2
144,1,fill,0,fill the child with pride,[Mask] the child with pride,The child had been missing for a week,missing,4
145,1,fill,0,fill the child with pride,[Mask] the child with pride,This child impressed me as unusually mature,impressed,2
146,0,decided,3,The case was decided,The case was [Mask],The charges were inflated,inflated,3
147,0,help,3,These pills will help the patient,These pills will [Mask] the patient,This drug will sharpen your vision,sharpen,3
148,0,depressed,2,These news depressed her,These news [Mask] her,The bad news shook her hopes .,shook,3
149,0,twist,0,twist the dough into a braid,[Mask] the dough into a braid,This scene acts well,acts,2
150,0,pleaded,1,I pleaded with him to stop .,I [Mask] with him to stop .,I have to level with you,level,3
151,0,galloping,3,The horse was galloping along,The horse was [Mask] along,their manes streamed like stiff black pennants in the wind,streamed,2
152,0,swells,2,The water swells the wood,The water [Mask] the wood,The river thundered below .,thundered,2
153,0,orient,3,We had to orient ourselves in the forest,We had to [Mask] ourselves in the forest,The soldiers sifted through the woods .,sifted,2
154,0,tempted,2,We were tempted by the delicious - looking food,We were [Mask] by the delicious - looking food,We have exhausted the food supplies .,exhausted,2
155,0,answered,9,The question concerning the meaning of life cannot be answered,The question concerning the meaning of life cannot be [Mask],This poses an interesting question,poses,1
156,0,stuffed,2,Have you stuffed the turkey yet ?,Have you [Mask] the turkey yet ?,I have to level with you,level,3
157,0,sowed,1,She sowed sunflower seeds,She [Mask] sunflower seeds,A rash erupted on her arms after she had touched the exotic plant,erupted,2
158,1,sit,4,I cannot baby - sit tonight ; I have too much homework to do,I cannot baby - [Mask] tonight ; I have too much homework to do,I cannot retain so much information,retain,2
159,1,sit,4,I cannot baby - sit tonight ; I have too much homework to do,I cannot baby - [Mask] tonight ; I have too much homework to do,Please excuse me from this class,excuse,1
160,1,sit,4,I cannot baby - sit tonight ; I have too much homework to do,I cannot baby - [Mask] tonight ; I have too much homework to do,step over to the blackboard,step,0
161,0,accommodate,4,The scientists had to accommodate the new results with the existing theories,The scientists had to [Mask] the new results with the existing theories,Mathematicians often visualize .,visualize,2
162,0,distills,2,The acid distills at a specific temperature,The acid [Mask] at a specific temperature,The chemical clouded the liquid to which it was added .,clouded,2
163,1,infects,2,His laughter infects everyone who is in the same room,His laughter [Mask] everyone who is in the same room,The room lightened up,lightened,2
164,1,infects,2,His laughter infects everyone who is in the same room,His laughter [Mask] everyone who is in the same room,She was recalled by a loud laugh,recalled,2
165,1,infects,2,His laughter infects everyone who is in the same room,His laughter [Mask] everyone who is in the same room,administer critical remarks to everyone present,administer,0
166,0,factor,4,a quantum computer can factor the number 15,a quantum computer can [Mask] the number 15,The age of computers had dawned,dawned,5
167,0,affects,2,the medicine affects my heart rate,the medicine [Mask] my heart rate,flush the wound with antibiotics,flush,0
168,0,indicated,0,indicated his wishes in a letter,[Mask] his wishes in a letter,He swallowed his words,swallowed,1
169,0,computerized,1,They computerized the car industry,They [Mask] the car industry,The car makers downsized the SUVs when fuel became very expensive .,downsized,3
170,0,recruited,1,They recruited new soldiers .,They [Mask] new soldiers .,The soldiers sifted through the woods .,sifted,2
171,0,clean,0,clean grain before milling it,[Mask] grain before milling it,The wheat headed early this year,headed,2
172,0,transform,2,It can transform energy to light .,It can [Mask] energy to light .,The beams scanned the night sky,scanned,2
173,0,railed,4,hundreds of miles were railed out here,hundreds of miles were [Mask] out here,The war uprooted many people .,uprooted,2
174,0,dumped,2,The truck dumped the garbage in the street,The truck [Mask] the garbage in the street,The bus thundered down the road .,thundered,2
175,1,climbed,2,The path climbed all the way to the top of the hill,The path [Mask] all the way to the top of the hill,The path ascended to the top of the hill .,ascended,2
176,1,climbed,2,The path climbed all the way to the top of the hill,The path [Mask] all the way to the top of the hill,blast a passage through the mountain,blast,0
177,1,climbed,2,The path climbed all the way to the top of the hill,The path [Mask] all the way to the top of the hill,steamroller the road,steamroller,0
178,1,ruffle,3,She wanted to ruffle his composure .,She wanted to [Mask] his composure .,He could tell that she was unhappy,tell,2
179,1,ruffle,3,She wanted to ruffle his composure .,She wanted to [Mask] his composure .,She must answer for her actions,answer,2
180,1,ruffle,3,She wanted to ruffle his composure .,She wanted to [Mask] his composure .,She denoted her feelings clearly,denoted,1
181,1,stamp,0,stamp fruit extract the juice,[Mask] fruit extract the juice,introduce exotic fruits,introduce,0
182,1,stamp,0,stamp fruit extract the juice,[Mask] fruit extract the juice,The liquid fills the container,fills,2
183,1,stamp,0,stamp fruit extract the juice,[Mask] fruit extract the juice,Take note of this chemical reaction,note,1
184,0,exhausts,4,This kind of work exhausts me .,This kind of work [Mask] me .,He heaped him with work,heaped,1
185,1,plunged,2,The professor plunged his students into the study of the Italian text,The professor [Mask] his students into the study of the Italian text,he is exploiting the students,exploiting,2
186,1,plunged,2,The professor plunged his students into the study of the Italian text,The professor [Mask] his students into the study of the Italian text,The teacher assigned him to lead his classmates in the exercise .,assigned,2
187,1,plunged,2,The professor plunged his students into the study of the Italian text,The professor [Mask] his students into the study of the Italian text,step over to the blackboard,step,0
188,1,absorbed,4,The sales tax is absorbed into the state income tax .,The sales tax is [Mask] into the state income tax .,The taxes were remitted,remitted,3
189,1,absorbed,4,The sales tax is absorbed into the state income tax .,The sales tax is [Mask] into the state income tax .,He exploit the new taxation system,exploit,1
190,1,absorbed,4,The sales tax is absorbed into the state income tax .,The sales tax is [Mask] into the state income tax .,the growth in income translates into greater purchasing power,translates,4
191,1,redounds,1,Fame redounds to the heroes .,Fame [Mask] to the heroes .,trench the fallen soldiers,trench,0
192,1,redounds,1,Fame redounds to the heroes .,Fame [Mask] to the heroes .,The teams drew a tie,tie,4
193,1,redounds,1,Fame redounds to the heroes .,Fame [Mask] to the heroes .,The soldiers were fired,fired,3
194,0,heap,0,heap the platter with potatoes,[Mask] the platter with potatoes,the butter cream smothered the cake,smothered,3
195,0,visit,3,Did you ever visit Paris ?,Did you ever [Mask] Paris ?,This poses an interesting question,poses,1
196,1,perturbed,3,The electrons were perturbed by the passing ion,The electrons were [Mask] by the passing ion,The cations were sequestered,sequestered,3
197,1,perturbed,3,The electrons were perturbed by the passing ion,The electrons were [Mask] by the passing ion,The hydrogen binds the oxygen .,binds,2
198,1,perturbed,3,The electrons were perturbed by the passing ion,The electrons were [Mask] by the passing ion,We must include this chemical element in the group,include,2
199,1,rotate,3,Interns have to rotate for a few months,Interns have to [Mask] for a few months,We continued to work into the night,continued,1
200,1,rotate,3,Interns have to rotate for a few months,Interns have to [Mask] for a few months,admit someone to the profession,admit,0
201,1,rotate,3,Interns have to rotate for a few months,Interns have to [Mask] for a few months,They recruited new soldiers .,recruited,1
202,0,remitted,3,The pain finally remitted,The pain finally [Mask],wallow in your sorrows,wallow,0
203,1,revived,3,Interest in ESP revived,Interest in ESP [Mask],This sounds interesting,sounds,1
204,1,revived,3,Interest in ESP revived,Interest in ESP [Mask],harmonize the different interests,harmonize,0
205,1,revived,3,Interest in ESP revived,Interest in ESP [Mask],specialize one's research,specialize,0
206,1,abused,2,The actress abused the policeman who gave her a parking ticket .,The actress [Mask] the policeman who gave her a parking ticket .,She noted that someone was following her,noted,1
207,1,abused,2,The actress abused the policeman who gave her a parking ticket .,The actress [Mask] the policeman who gave her a parking ticket .,She must answer for her actions,answer,2
208,1,abused,2,The actress abused the policeman who gave her a parking ticket .,The actress [Mask] the policeman who gave her a parking ticket .,She pleaded not guilty .,pleaded,1
209,0,attacking,4,The cancer cells are attacking his liver,The cancer cells are [Mask] his liver,The fluid suspends the particles .,suspends,2
210,0,stampede,2,Thunderbolts can stampede animals,Thunderbolts can [Mask] animals,The beams scanned the night sky,scanned,2
211,0,test,2,She doesn't test well,She doesn't [Mask] well,She tugged and wrestled with her conflicts,tugged,1
212,0,moderate,0,moderate your alcohol intake,[Mask] your alcohol intake,She drowned her trouble in alcohol,drowned,1
213,0,headed,3,The list was headed by the name of the president,The list was [Mask] by the name of the president,Government reaches out to the people,reaches,1
214,0,ripped,2,The curtain ripped from top to bottom .,The curtain [Mask] from top to bottom .,This scene acts well,acts,2
215,1,negociated,2,The hiker negociated the high mountain pass,The hiker [Mask] the high mountain pass,blast a passage through the mountain,blast,0
216,1,negociated,2,The hiker negociated the high mountain pass,The hiker [Mask] the high mountain pass,he declined to join the group on a hike,declined,1
217,1,negociated,2,The hiker negociated the high mountain pass,The hiker [Mask] the high mountain pass,The path ascended to the top of the hill .,ascended,2
218,0,upgraded,1,I upgraded to First Class when Coach Class was overbooked,I [Mask] to First Class when Coach Class was overbooked,wharf the passengers,wharf,0
219,0,oppose,5,The senator said he would oppose the bill,The senator said he would [Mask] the bill,The Senator steamrollered the bill to defeat,steamrollered,2
220,0,cook,3,My husband doesn't cook,My husband doesn't [Mask],Her husband often abuses alcohol .,abuses,3
221,0,restore,0,restore the forest to its original pristine condition,[Mask] the forest to its original pristine condition,The gardener topped the trees and bushes .,topped,2
222,1,pricked,5,The thought of her unhappiness pricked his conscience,The thought of her unhappiness [Mask] his conscience,He could tell that she was unhappy,tell,2
223,1,pricked,5,The thought of her unhappiness pricked his conscience,The thought of her unhappiness [Mask] his conscience,vote one's conscience,vote,0
224,1,pricked,5,The thought of her unhappiness pricked his conscience,The thought of her unhappiness [Mask] his conscience,She denoted her feelings clearly,denoted,1
225,1,poses,1,This poses an interesting question,This [Mask] an interesting question,This sounds interesting,sounds,1
226,1,poses,1,This poses an interesting question,This [Mask] an interesting question,The situation was rather involved,involved,4
227,1,poses,1,This poses an interesting question,This [Mask] an interesting question,This procedure produces a curious effect,produces,2
228,0,leaned,1,He leaned his rifle against the wall,He [Mask] his rifle against the wall,The gun kicked back into my shoulder .,kicked,2
229,1,peeped,1,He peeped his head through the window .,He [Mask] his head through the window .,He peeped at the woman through the window .,peeped,1
230,1,peeped,1,He peeped his head through the window .,He [Mask] his head through the window .,He brushed the wall lightly,brushed,1
231,1,peeped,1,He peeped his head through the window .,He [Mask] his head through the window .,His eyes were watering,watering,3
232,0,scored,1,They scored the SAT essays .,They [Mask] the SAT essays .,They sifted through the job candidates .,sifted,1
233,1,deflated,3,The new measures deflated the economy,The new measures [Mask] the economy,The rising inflation depressed the economy,depressed,3
234,1,deflated,3,The new measures deflated the economy,The new measures [Mask] the economy,He exploit the new taxation system,exploit,1
235,1,deflated,3,The new measures deflated the economy,The new measures [Mask] the economy,The taxes were remitted,remitted,3
236,0,specialize,0,specialize one's research,[Mask] one's research,This poses an interesting question,poses,1
237,0,talks,7,Be carefu l - - his secretary talks .,Be carefu l - - his secretary [Mask] .,lay a responsibility on someone,lay,0
238,0,relaxed,1,He relaxed in the hot tub,He [Mask] in the hot tub,Her face glowed when she came out of the sauna,glowed,2
239,0,crawling,3,The crocodile was crawling along the riverbed,The crocodile was [Mask] along the riverbed,The river thundered below .,thundered,2
240,0,allowed,2,Mandela was allowed few visitors in prison,Mandela was [Mask] few visitors in prison,The prisoners are safely pounded,pounded,4
241,0,refine,0,refine one's style of writing,[Mask] one's style of writing,He swallowed his words,swallowed,1
242,1,deflate,0,deflate the currency,[Mask] the currency,The yen appreciated again !,appreciated,2
243,1,deflate,0,deflate the currency,[Mask] the currency,negociate securities,negociate,0
244,1,deflate,0,deflate the currency,[Mask] the currency,build a modern nation,build,0
245,0,declared,2,His wife declared at once for moving to the West Coast,His wife [Mask] at once for moving to the West Coast,She spelled her husband at the wheel,spelled,1
246,0,remember,2,I can't remember saying any such thing,I can't [Mask] saying any such thing,Don't twist my words,twist,1
247,0,nodded,2,The teacher nodded when the student gave the right answer,The teacher [Mask] when the student gave the right answer,This student heads the class,heads,2
248,0,pierced,2,The needle pierced her flesh .,The needle [Mask] her flesh .,The dress molds her beautiful figure,molds,2
249,1,fuel,0,fuel the debate on creationism,[Mask] the debate on creationism,construct an argument,construct,0
